,Position,Temperature [K],Error [K]
0,200,300.0,0.0
1,201,300.0,0.0
2,202,300.0,0.0
3,203,300.0,0.0
4,204,300.0,0.0
5,205,300.0,0.0
6,206,300.0,0.0
7,207,300.0,0.0
8,208,300.0,0.0
9,209,300.0,0.0
10,210,300.0,0.0
11,211,300.0,0.0
12,212,300.0,0.0
13,213,300.0,0.0
14,214,300.0,0.0
15,215,300.0,0.0
16,216,300.0,0.0
17,217,300.0,0.0
18,218,300.0,0.0
19,219,300.0,0.0
20,220,300.0,0.0
21,221,300.0,0.0
22,222,300.0,0.0
23,223,300.0,0.0
24,224,300.0,0.0
25,225,300.0,0.0
26,226,300.0,0.0
27,227,300.0,0.0
28,228,300.0,0.0
29,229,300.0,0.0
30,230,300.0,0.0
31,231,300.0,0.0
32,232,300.0,0.0
33,233,300.0,0.0
34,234,300.0,0.0
35,235,300.0,0.0
36,236,300.0,0.0
37,237,300.0,0.0
38,238,300.0,0.0
39,239,300.0,0.0
40,240,300.0,0.0
41,241,300.0,0.0
42,242,300.0,0.0
43,243,300.0,0.0
44,244,300.0,0.0
45,245,300.0,0.0
46,246,300.0,0.0
47,247,300.0,0.0
48,248,300.0,0.0
49,249,300.0,0.0
50,250,300.0,0.0
51,251,300.0,0.0
52,252,300.0,0.0
53,253,300.0,0.0
54,254,300.0,0.0
55,255,300.0,0.0
56,256,300.0,0.0
57,257,300.0,0.0
58,258,300.0,0.0
59,259,300.0,0.0
60,260,300.0,0.0
61,261,300.0,0.0
62,262,300.0,0.0
63,263,300.0,0.0
64,264,300.0,0.0
65,265,300.0,0.0
66,266,300.0,0.0
67,267,300.0,0.0
68,268,300.0,0.0
69,269,300.0,0.0
70,270,300.0,0.0
71,271,300.0,0.0
72,272,300.0,0.0
73,273,300.0,0.0
74,274,300.0,0.0
75,275,1194.4894693443125,2.807587664861838
76,276,1233.051941123123,2.4927213162168287
77,277,1277.0077877633564,2.2719859593116736
78,278,1316.7460427064696,2.1633647462459464
79,279,1345.5960175533673,1.9422690359397283
80,280,1365.9129535562201,1.861192636127276
81,281,1373.020247297437,1.7943462281336418
82,282,1367.6176471217002,1.786814945688268
83,283,1362.6509283996293,1.9372991799286685
84,284,1348.5168171566133,1.9087774880449742
85,285,1333.1493372310154,2.0306680495386376
86,286,1313.245059774069,2.0684567912288108
87,287,1294.4134745823758,2.2773076155432355
88,288,1279.2190790533175,2.2637715743692595
89,289,1270.8511874273665,2.5967594245420784
90,290,1254.457951365482,2.923482875347415
91,291,300.0,0.0
92,292,300.0,0.0
93,293,300.0,0.0
94,294,300.0,0.0
95,295,300.0,0.0
96,296,300.0,0.0
97,297,300.0,0.0
98,298,300.0,0.0
99,299,300.0,0.0
100,300,300.0,0.0
101,301,300.0,0.0
102,302,300.0,0.0
103,303,300.0,0.0
104,304,300.0,0.0
105,305,300.0,0.0
106,306,300.0,0.0
107,307,300.0,0.0
108,308,300.0,0.0
109,309,300.0,0.0
110,310,300.0,0.0
111,311,300.0,0.0
112,312,300.0,0.0
113,313,300.0,0.0
114,314,300.0,0.0
115,315,300.0,0.0
116,316,300.0,0.0
117,317,300.0,0.0
118,318,300.0,0.0
119,319,300.0,0.0
120,320,300.0,0.0
121,321,300.0,0.0
122,322,300.0,0.0
123,323,300.0,0.0
124,324,300.0,0.0
125,325,300.0,0.0
126,326,300.0,0.0
127,327,300.0,0.0
128,328,300.0,0.0
129,329,300.0,0.0
130,330,300.0,0.0
131,331,300.0,0.0
132,332,300.0,0.0
133,333,300.0,0.0
134,334,300.0,0.0
135,335,300.0,0.0
136,336,300.0,0.0
137,337,300.0,0.0
138,338,300.0,0.0
139,339,300.0,0.0
140,340,300.0,0.0
141,341,300.0,0.0
142,342,300.0,0.0
143,343,300.0,0.0
144,344,300.0,0.0
145,345,300.0,0.0
146,346,300.0,0.0
147,347,300.0,0.0
148,348,300.0,0.0
149,349,300.0,0.0
150,350,300.0,0.0
151,351,300.0,0.0
152,352,300.0,0.0
153,353,300.0,0.0
154,354,300.0,0.0
155,355,300.0,0.0
156,356,300.0,0.0
157,357,300.0,0.0
158,358,300.0,0.0
159,359,300.0,0.0
160,360,300.0,0.0
161,361,300.0,0.0
162,362,300.0,0.0
163,363,300.0,0.0
164,364,300.0,0.0
165,365,300.0,0.0
166,366,300.0,0.0
167,367,300.0,0.0
168,368,300.0,0.0
169,369,300.0,0.0
170,370,300.0,0.0
171,371,300.0,0.0
172,372,300.0,0.0
173,373,300.0,0.0
174,374,300.0,0.0
175,375,300.0,0.0
176,376,300.0,0.0
177,377,300.0,0.0
178,378,300.0,0.0
179,379,300.0,0.0
180,380,300.0,0.0
181,381,300.0,0.0
182,382,300.0,0.0
183,383,300.0,0.0
184,384,300.0,0.0
185,385,300.0,0.0
186,386,300.0,0.0
187,387,300.0,0.0
188,388,300.0,0.0
189,389,300.0,0.0
190,390,300.0,0.0
191,391,300.0,0.0
192,392,300.0,0.0
193,393,300.0,0.0
194,394,300.0,0.0
195,395,300.0,0.0
196,396,300.0,0.0
197,397,300.0,0.0
198,398,300.0,0.0
199,399,300.0,0.0
