,Position,Temperature [K],Error [K]
0,0,300.0,0.0
1,1,300.0,0.0
2,2,300.0,0.0
3,3,300.0,0.0
4,4,300.0,0.0
5,5,300.0,0.0
6,6,300.0,0.0
7,7,300.0,0.0
8,8,300.0,0.0
9,9,300.0,0.0
10,10,300.0,0.0
11,11,300.0,0.0
12,12,300.0,0.0
13,13,300.0,0.0
14,14,300.0,0.0
15,15,300.0,0.0
16,16,300.0,0.0
17,17,300.0,0.0
18,18,300.0,0.0
19,19,300.0,0.0
20,20,300.0,0.0
21,21,300.0,0.0
22,22,300.0,0.0
23,23,300.0,0.0
24,24,300.0,0.0
25,25,300.0,0.0
26,26,300.0,0.0
27,27,300.0,0.0
28,28,300.0,0.0
29,29,300.0,0.0
30,30,300.0,0.0
31,31,300.0,0.0
32,32,300.0,0.0
33,33,300.0,0.0
34,34,300.0,0.0
35,35,300.0,0.0
36,36,300.0,0.0
37,37,300.0,0.0
38,38,300.0,0.0
39,39,300.0,0.0
40,40,300.0,0.0
41,41,300.0,0.0
42,42,300.0,0.0
43,43,300.0,0.0
44,44,300.0,0.0
45,45,300.0,0.0
46,46,300.0,0.0
47,47,300.0,0.0
48,48,300.0,0.0
49,49,300.0,0.0
50,50,300.0,0.0
51,51,300.0,0.0
52,52,300.0,0.0
53,53,300.0,0.0
54,54,300.0,0.0
55,55,300.0,0.0
56,56,300.0,0.0
57,57,300.0,0.0
58,58,300.0,0.0
59,59,300.0,0.0
60,60,300.0,0.0
61,61,300.0,0.0
62,62,300.0,0.0
63,63,300.0,0.0
64,64,300.0,0.0
65,65,300.0,0.0
66,66,300.0,0.0
67,67,300.0,0.0
68,68,300.0,0.0
69,69,300.0,0.0
70,70,300.0,0.0
71,71,300.0,0.0
72,72,300.0,0.0
73,73,300.0,0.0
74,74,300.0,0.0
75,75,300.0,0.0
76,76,300.0,0.0
77,77,300.0,0.0
78,78,300.0,0.0
79,79,300.0,0.0
80,80,300.0,0.0
81,81,300.0,0.0
82,82,300.0,0.0
83,83,300.0,0.0
84,84,1471.9243480720058,3.1151716525427635
85,85,1498.817489517189,2.8718199231043653
86,86,1532.4838528834407,2.734196852287724
87,87,1572.1535317861315,2.4027669983016553
88,88,1606.4422761395995,2.36661726794425
89,89,1623.6611832427166,2.5357514218140014
90,90,1625.1039659384357,2.542551979226501
91,91,1602.2956613593158,2.571237799083658
92,92,1564.5714902716977,2.5898913201910445
93,93,1515.8234348713518,2.774566190034348
94,94,1461.2051920135298,2.7607151494214497
95,95,1394.9683447169805,2.853311381017878
96,96,1326.829010845597,2.9247522199933287
97,97,300.0,0.0
98,98,300.0,0.0
99,99,300.0,0.0
100,100,300.0,0.0
101,101,300.0,0.0
102,102,300.0,0.0
103,103,300.0,0.0
104,104,300.0,0.0
105,105,300.0,0.0
106,106,300.0,0.0
107,107,300.0,0.0
108,108,300.0,0.0
109,109,300.0,0.0
110,110,300.0,0.0
111,111,300.0,0.0
112,112,300.0,0.0
113,113,300.0,0.0
114,114,300.0,0.0
115,115,300.0,0.0
116,116,300.0,0.0
117,117,300.0,0.0
118,118,300.0,0.0
119,119,300.0,0.0
120,120,300.0,0.0
121,121,300.0,0.0
122,122,300.0,0.0
123,123,300.0,0.0
124,124,300.0,0.0
125,125,300.0,0.0
126,126,300.0,0.0
127,127,300.0,0.0
128,128,300.0,0.0
129,129,300.0,0.0
130,130,300.0,0.0
131,131,300.0,0.0
132,132,300.0,0.0
133,133,300.0,0.0
134,134,300.0,0.0
135,135,300.0,0.0
136,136,300.0,0.0
137,137,300.0,0.0
138,138,300.0,0.0
139,139,300.0,0.0
140,140,300.0,0.0
141,141,300.0,0.0
142,142,300.0,0.0
143,143,300.0,0.0
144,144,300.0,0.0
145,145,300.0,0.0
146,146,300.0,0.0
147,147,300.0,0.0
148,148,300.0,0.0
149,149,300.0,0.0
150,150,300.0,0.0
151,151,300.0,0.0
152,152,300.0,0.0
153,153,300.0,0.0
154,154,300.0,0.0
155,155,300.0,0.0
156,156,300.0,0.0
157,157,300.0,0.0
158,158,300.0,0.0
159,159,300.0,0.0
160,160,300.0,0.0
161,161,300.0,0.0
162,162,300.0,0.0
163,163,300.0,0.0
164,164,300.0,0.0
165,165,300.0,0.0
166,166,300.0,0.0
167,167,300.0,0.0
168,168,300.0,0.0
169,169,300.0,0.0
170,170,300.0,0.0
171,171,300.0,0.0
172,172,300.0,0.0
173,173,300.0,0.0
174,174,300.0,0.0
175,175,300.0,0.0
176,176,300.0,0.0
177,177,300.0,0.0
178,178,300.0,0.0
179,179,300.0,0.0
180,180,300.0,0.0
181,181,300.0,0.0
182,182,300.0,0.0
183,183,300.0,0.0
184,184,300.0,0.0
185,185,300.0,0.0
186,186,300.0,0.0
187,187,300.0,0.0
188,188,300.0,0.0
189,189,300.0,0.0
190,190,300.0,0.0
191,191,300.0,0.0
192,192,300.0,0.0
193,193,300.0,0.0
194,194,300.0,0.0
195,195,300.0,0.0
196,196,300.0,0.0
197,197,300.0,0.0
198,198,300.0,0.0
199,199,300.0,0.0
